_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
228,7FE,,4320.0,1562.0,1.1409001797437668,,,,,,,,,,,
229,28b,São Paulo Brazil,10.0,0.0,0.9460694789886475,,,,,,,,,,,
230,b7d,,1.0,0.0,0.9881144091486931,,,,,,,,,,,
231,466,Japan,4.0,0.0,0.7483682632446289,,,,,,,,,,,
232,555,"Bristol, UK",6568.0,4574.0,0.7713942527770996,,,,,,,,,,,
233,14B,,18.0,0.0,1.1327710449695587,,,,,,,,,,,
234,120,,7285.0,3129.0,1.1591635048389435,,,,,,,,,,,
235,afb,,3256.0,32.0,0.9789651706814766,,,,,,,,,,,
236,040,,1.0,0.0,0.8487218022346497,,,,,,,,,,,
237,1ee,,114.0,15.0,1.0755842924118042,,,,,,,,,,,
238,ba2,,20.0,2.0,0.9856994077563286,,,,,,,,,,,
239,db7,,1113.0,16.0,0.9819827564060688,,,,,,,,,,,
240,f86,,56.0,2.0,0.9117669463157654,,,,,,,,,,,
241,578,"30.316944,-91.123266",1.0,0.0,1.1081310883164406,,,,,,,,,,,
242,F40,,4.0,1.0,0.652152419090271,,,,,,,,,,,
243,4ad,"Beijing, China",329.0,10.0,0.8966669887304306,,,,,,,,,,,
244,CD5,Maryland,206.0,127.0,0.9560539126396179,,,,,,,,,,,
245,02e,,3.0,0.0,0.975058525800705,,,,,,,,,,,
246,C37,"Dallas, TX",220.0,169.0,0.7847493290901184,,,,,,,,,,,
247,063,"Madurai South, India",5.0,90.0,1.2065602838993073,,,,,,,,,,,
248,174,,4.0,0.0,1.0235159397125244,,,,,,,,,,,
249,da4,"Chicago, IL",1473.0,408.0,0.9494825191795826,,,,,,,,,,,
250,Be5,,2.0,0.0,0.8623290657997131,,,,,,,,,,,
251,48B,,17.0,11.0,1.0071922121569514,,,,,,,,,,,
252,C0A,,1.0,0.0,1.1492343842983246,,,,,,,,,,,
253,A44,,4.0,0.0,0.8867397904396057,,,,,,,,,,,
254,008,"Eyes only, love.",15.0,0.0,1.0694373920559883,,,,,,,,,,,
255,f4e,Wiesbaden,11.0,22.0,0.9533617943525314,,,,,,,,,,,
256,910,,1.0,0.0,1.0643344447016716,,,,,,,,,,,
257,1b14,24,10.0,0.0,1.0714500918984413,,,,,,,,,,,
258,ca56,,1.0,0.0,0.0,,,,,,,,,,,
259,3817,,5.0,0.0,0.7680232226848602,,,,,,,,,,,
260,5ea6,,1.0,0.0,0.9153158217668533,,,,,,,,,,,
261,f7ad,"المدينة المن, المملكة العربية ",1568.0,0.0,1.2049479186534882,,,,,,,,,,,
262,102b,,1.0,0.0,1.17508564889431,,,,,,,,,,,
263,df71,,23.0,45.0,0.8660276681184769,,,,,,,,,,,
264,e26c,,1.0,0.0,0.9153158217668533,,,,,,,,,,,
265,0566,,1.0,0.0,0.0,,,,,,,,,,,
266,0d2e,,2.0,0.0,1.0479607284069061,,,,,,,,,,,
267,01f5,peru,4.0,0.0,0.9154689684510231,,,,,,,,,,,
268,F337,S.E.O.U.L,1.0,0.0,1.165627434849739,,,,,,,,,,,
269,2f26,,74.0,6163.0,0.9789651706814766,,,,,,,,,,,
270,6f12,,1232.0,5.0,0.9760150071233511,,,,,,,,,,,
271,4255,Bremerton Wa,99.0,13.0,0.8359641432762146,,,,,,,,,,,
272,7690,,1.0,0.0,0.9097878709435463,,,,,,,,,,,
273,ec21,,10.0,457.0,1.1913556158542633,,,,,,,,,,,
274,33c5,,4.0,0.0,0.9023445174098015,,,,,,,,,,,
275,6414,,1.0,0.0,0.8594510555267334,,,,,,,,,,,
276,1448,India,2.0,1.0,1.1273805499076843,,,,,,,,,,,
277,a8b8,"Rio de Janeiro, Brasil",16.0,44.0,0.6464741230010986,,,,,,,,,,,
278,9973,,4.0,5.0,0.9494825191795826,,,,,,,,,,,
279,6743,,4.0,3.0,0.8594510555267334,,,,,,,,,,,
280,f509,,2.0,0.0,0.8257049322128296,,,,,,,,,,,
281,6119,,5.0,18.0,0.8783068209886551,,,,,,,,,,,
282,f7a9,,665.0,0.0,1.0186613835394382,,,,,,,,,,,
283,5e5a,Jeddah,98.0,14.0,0.9150636196136475,,,,,,,,,,,
284,5543,,1.0,0.0,0.9205430597066879,,,,,,,,,,,
285,d8c0,,17.0,2.0,0.7706680595874786,,,,,,,,,,,
286,53E2,,4.0,1.0,1.0050808191299438,,,,,,,,,,,
287,EFBA,"Chaclacayo, Lima, Perú",3266.0,10.0,1.225667655467987,,,,,,,,,,,
288,2160,,1583.0,8.0,0.7818336486816406,,,,,,,,,,,
289,ad13,,1.0,0.0,0.9795974642038345,,,,,,,,,,,
290,8948,Sakura City,536.0,10.0,1.1725343763828278,,,,,,,,,,,
291,2645,                                                                                                                        ,4914.0,33468.0,0.8794502764940262,,,,,,,,,,,
292,b012,,2.0,0.0,0.832877904176712,,,,,,,,,,,
293,586C,,1.0,0.0,0.0,,,,,,,,,,,
294,394a,الكويت,847.0,15.0,1.0926964730024338,,,,,,,,,,,
295,91a8,,1.0,0.0,1.1531345397233963,,,,,,,,,,,
296,7D71,,2.0,0.0,0.9945225138217211,,,,,,,,,,,
297,0db0,,1091.0,423.0,1.1029797121882439,,,,,,,,,,,
298,2fab,Canada,2.0,0.0,1.053403228521347,,,,,,,,,,,
299,f6aa,"San Nicolas de los Garza, Mexico",15.0,0.0,0.9868060182780027,,,,,,,,,,,
300,1243,,7.0,0.0,0.8069070726633072,,,,,,,,,,,
301,e7e6,"Ankara, Türkiye",26.0,135.0,1.0599343292415142,,,,,,,,,,,
302,7a40,,5.0,10.0,1.153998926281929,,,,,,,,,,,
303,0625,,71.0,4.0,0.8186197727918625,,,,,,,,,,,
304,eb55,,1.0,0.0,0.0,,,,,,,,,,,
305,c884,新宿区,18517.0,45920.0,0.9176387935876846,,,,,,,,,,,
306,ae89,,821.0,4339.0,1.2192679196596146,,,,,,,,,,,
307,5122,,78.0,0.0,0.7680232226848602,,,,,,,,,,,
308,8469,,1.0,0.0,0.9898721612989902,,,,,,,,,,,
309,5c44,,1.0,0.0,0.9153158217668533,,,,,,,,,,,
310,32B9,,3.0,0.0,0.862590491771698,,,,,,,,,,,
311,e961,"ÜT: 0.52571,101.448067",2977.0,3.0,0.9364415556192398,,,,,,,,,,,
312,864c,第零下四十一階層都市「アサヒカワ」,9484.0,57.0,0.9422532841563225,,,,,,,,,,,
313,0208,,5.0,0.0,1.0191331803798676,,,,,,,,,,,
314,Deb9,,1.0,0.0,0.0,,,,,,,,,,,
315,2E30,,98.0,0.0,0.7211024761199951,,,,,,,,,,,
316,EB72,,309.0,2841.0,0.9654638431966305,,,,,,,,,,,
317,3c52,,2.0,0.0,0.0,,,,,,,,,,,
318,90ea,,27.0,0.0,1.0781174823641777,,,,,,,,,,,
319,AE70,,52.0,2.0,0.947039932012558,,,,,,,,,,,
320,1128,,1.0,0.0,0.0,,,,,,,,,,,
321,7678,,1.0,0.0,0.8540827631950378,,,,,,,,,,,
322,3B44,,13.0,0.0,1.0083789974451065,,,,,,,,,,,
323,A169,,1.0,0.0,0.0,,,,,,,,,,,
324,4371,"Johannesburg, South Africa",45.0,0.0,0.8022632151842117,,,,,,,,,,,
